"BULAN","TN","TX","TAVG","RH_AVG","RR","SS","FF_X","DDD_X","FF_AVG"
1,20.9578868971746,28.152217954077,23.8447355832732,87.959153058163,11.1529411764706,2.84675324675325,4.16883116883117,259.194805194805,0.720779220779221
2,21.0447807380505,27.7351377257593,23.7975149644199,88.5689145837661,15.2144,2.51468531468531,4.64335664335664,265.314685314685,0.832167832167832
3,21.1889278369789,29.2323678818407,24.2576235886159,86.3763434035711,14.651968503937,3.97581987533645,4.44871794871795,251.128205128205,0.826923076923077
4,21.4371935543368,29.8746623810978,24.7378115418531,85.5440560834607,16.673275862069,4.93710000370796,4.1006711409396,244.476510067114,0.697986577181208
5,21.7511073241584,30.3393690059478,25.124358974359,84.6282051282051,14.405504587156,5.11602564102564,4.03846153846154,233.852564102564,0.788461538461538
6,21.1062546270331,29.7966666666667,24.504,84.9423652365237,12.22,5.34,3.87333333333333,219.933333333333,0.72
7,20.5468182406489,29.7534715700504,24.3037774347697,80.7673690445968,8.87093023255814,6.15292180195495,4.10897435897436,203.602564102564,0.891025641025641
8,20.4606993399198,30.2943890691255,24.4413117943079,80.4894537530676,8.00280373831776,6.46171731123389,4.33974358974359,217.455128205128,1.07051282051282
9,20.5369055799252,30.3359769498203,24.6228121848479,80.0023495727056,11.6314814814815,6.35184040100984,4.6953642384106,206.596026490066,1.09933774834437
10,20.8887603703083,30.4398802917393,24.8165236357925,82.3854206849256,15.9194444444444,5.55350326469111,4.91558441558442,230.707792207792,0.967532467532468
11,21.262987012987,29.695614901192,24.5645755838444,85.1971089966139,19.6616541353383,4.40880390327904,5.20779220779221,234.558441558442,0.987012987012987
12,21.2393783583305,28.7392459990691,24.2854492897551,85.7248695837326,13.98828125,2.94714132953128,5.26451612903226,252.193548387097,1.07096774193548
